englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Yamazaki 10-year-old Suntory Pure Malt Whisky,山崎 10年 金花 綠標,Yamazaki,官方,,10,0.4,700,,,,89,10500,230,,,2019/4/17,2019/1/7,,2019/4/18
Yamazaki 12-year-old,山崎 12年,Yamazaki,官方,,12,0.43,700,美國 & 西班牙 & 日本橡木,,,85.83,4300,105,,,2018/12/25,2019/3/4,,2019/3/6
Yamazaki 12-year-old,山崎 12年 白盒 有框 金花頭,Yamazaki,官方,,12,0.43,700,,,,84.28,5000,105,,,2018/11/8,2019/3/4,,2019/3/8
Yamazaki 12-year-old Single Malt Japanese Whisky,山崎 12年 黑盒,Yamazaki,官方,,12,0.43,700,,,,86.2,4600,115,,,2018/10/28,2019/3/4,,2019/3/6
Yamazaki 12-year-old Suntory Pure Malt Whisky,山崎 12年 金花 黃盒,Yamazaki,官方,,12,0.43,750,,,,,7000,150,,,,2019/1/7,,2019/3/6
Yamazaki 12-year-old Suntory Pure Malt Whisky,山崎 12年 金獅 木盒,Yamazaki,官方,,,0.43,760,,,,88.6,16600,330,,,2019/4/17,2019/1/7,,2019/4/18
Yamazaki 12-year-old Watami President Choice,山崎 12年 渡邊美樹選桶,Yamazaki,官方,,12,0.43,660,雪莉,,,87,7000,260,,出場即裸瓶,2019/3/30,2019/1/7,,2019/4/2
Yamazaki 18-year-old,山崎 18年 日版 黑盒,Yamazaki,官方,,18,0.43,700,"雪莉, 波本, 水楢",,,,20000,450,,日版,2019/4/4,2019/3/4,,2019/4/10
Yamazaki 18-year-old Limited Edition,山崎 18年 限量 木盒,Yamazaki,官方,,18,0.43,700,,,,87.75,20500,,,FB私價,2019/4/10,,,2019/4/10
Yamazaki 1984,山崎 1984 水楢,Yamazaki,官方,1984,25,0.48,700,美國 & 歐洲 & 日本水楢,,,91.67,288000,"7,600.00",,,2019/3/5,2019/3/4,,2019/3/14
Yamazaki 1986 The Owner's Cask,山崎 1986 水楢 #6G5029,Yamazaki,官方,1986,20,0.6,700,水楢 Butt,6G5029,405,90.69,288000,"4,500.00",,法國限定,2019/2/15,2018/7/2,,2019/3/12
Yamazaki 1991 The Owner's Cask,山崎 1991 單桶 #1S70430,Yamazaki,官方,1991,17,0.59,700,雪莉,1S70430,471,90.5,162500,,,日本限定,2019/3/24,,,2019/3/27
Yamazaki 1992 SMWS 119.12 Chewy and Cheek-Sucking,山崎 1992 SMWS 119.12,Yamazaki,Scotch Malt Whisky Society,1992,16,0.54,700,水楢,,262,90.42,58800,,,,2019/1/24,,,2019/3/22
Yamazaki 1992 The Owner's Cask,山崎 1992 #2S70061,Yamazaki,官方,1992,15,0.61,700,雪莉 Butt,2S70061,,91.5,119500,"2,600.00",,,2019/4/22,2019/2/4,,2019/4/23
Yamazaki 1993 The Owner's Cask,山崎 魂 1993 #3P70366,Yamazaki,官方,1993,,0.61,700,雪莉 Butt,3P70366,474,,155000,,,2006裝瓶/日本限定,2019/3/5,,,2019/3/13
Yamazaki 1994 The Owners Cask,山崎 1994 #4R70109,Yamazaki,官方,1994,12,0.63,700,雪莉 Butt,4R70109,542,91,110500,,,日本限定,2019/2/11,,,2019/3/12
Yamazaki 1994 The Owner's Cask,山崎 1994 與水精一,Yamazaki,官方,1994,,0.58,700,雪莉 Butt,4G 3003,438,88,210600,"1,000.00",,2001裝瓶,2019/3/2,2016/7/4,,2019/3/13
Yamazaki 1995 The Owner's Cask,山崎 1995 #5C3009,Yamazaki,官方,1995,11,0.58,700,雪莉,5C3009,401,91.65,90600,,,,2019/3/5,,,2019/3/13
Yamazaki 1997 The Owner's Cask #70277,山崎 1997 私人桶 #70277,Yamazaki,官方,1997,,0.61,700,雪莉 Butt,BX 70277,,,117100,,,,2019/2/28,,,2019/3/6
Yamazaki 1998 Single Cask Whisky,山崎 1998 單桶 #CU70064,Yamazaki,官方,1998,15,0.61,700,雪莉 Butt,CU70064,,,106000,,,,2019/2/16,,,2019/3/12
Yamazaki 1998 Single Cask Whisky,山崎 1998 單桶 #CU70066,Yamazaki,官方,1998,,0.61,700,雪莉,CU 70066,,91.13,135000,,,2012裝瓶,2019/3/24,,,2019/3/27
Yamazaki 1998 Suntory Single Cask Whisky,山崎 1998 三得利單桶 #CM70012,Yamazaki,官方,1998,15,0.54,700,雪莉,CM70012,,89.67,145100,525,,日本限定,2019/3/7,2015/3/2,,2019/3/14
Yamazaki 1998 Suntory Single Cask Whisky,山崎 1998 單桶 善光寺 #CM70006,Yamazaki,官方,1998,,0.59,700,雪莉,CM 70006,477,,193000,"1,400.00",,2009裝瓶,2019/3/9,2017/10/2,,2019/3/22
Yamazaki 1999 Suntory Single Cask Whisky,山崎 1999 #DQ70159,Yamazaki,官方,1999,13,0.61,700,Puncheon,DQ 70159,,,31500,,,日本限定,2019/3/5,,,2019/3/13
Yamazaki 1999 The Owner's Cask #70208,山崎 1999 私人桶 #DV70208,Yamazaki,官方,1999,,0.56,700,Bota Corta 雪莉,DV 70028,,87.33,83100,"1,250.00",,,,2017/12/4,,2019/3/6
Yamazaki 2000 The Owner's Cask #60044,山崎 2000 私人桶 #ES60044,Yamazaki,官方,2000,,0.57,700,雪莉 Butt,ES 60044,,89.57,83100,745,,,,2017/7/3,,2019/3/6
Yamazaki 2003 SMWS 119.13 Fathoms deep,山崎 2003 SMWS 119.13,Yamazaki,Scotch Malt Whisky Society,2003,11,0.602,700,前波本 Barrel(一次充填),,149,88.5,32900,500,,,2019/1/24,2018/4/2,,2019/3/22
Yamazaki 25-year-old,山崎 25年,Yamazaki,官方,,25,0.43,700,雪莉,,,92.48,179999,,,,2019/4/6,,,2019/4/10
Yamazaki Heavily Peated,山崎 重泥煤 2013,Yamazaki,官方,,,0.48,700,,,3500,87,51000,"1,000.00",,FB私價/2013裝瓶,2019/2/17,2019/3/4,,2019/3/23
Yamazaki Limited Edition 2014,山崎 2014 限定,Yamazaki,官方,,,0.43,700,,,,88.9,17100,450,,,2018/10/6,2019/3/4,,2019/3/9
Yamazaki Limited Edition 2015,山崎 2015 限定,Yamazaki,官方,,,0.43,700,,,,87.58,11700,310,,,2019/4/12,2019/3/4,,2019/4/16
Yamazaki Limited Edition 2016,山崎 2016 限定,Yamazaki,官方,,,0.43,700,,,,87.58,9800,330,,,2019/4/16,2019/3/4,,2019/4/18
Yamazaki Limited Edition 2017,山崎 2017 限定,Yamazaki,官方,,,0.43,700,,,,87.6,8200,270,,,2019/3/30,2019/3/4,,2019/4/2
Yamazaki Mizunara 2011,山崎 水楢 2011,Yamazaki,官方,,,0.48,700,水楢,,1500,90.4,76000,"1,300.00",,FB拍賣缺小卡,2019/3/5,2017/7/3,,2019/3/14
Yamazaki Mizunara 2014,山崎 水楢 2014,Yamazaki,官方,,,0.48,700,水楢,,1600,90.86,105000,"1,650.00",,FB私價/2014版/日本限定,2019/2/17,2018/10/8,,2019/3/23
Yamazaki Pure Malt Whisky Suntory,山崎 首版 無年份 760ML,Yamazaki,官方,,,0.43,760,,,,,23500,,,FB私價/酒標無年份標記、特級/日本限定,2019/3/30,,,2019/4/2
Yamazaki Sherry Cask 2009,山崎 雪莉 2009,Yamazaki,官方,,,0.48,700,,,,88.98,85000,"2,800.00",,,2019/2/15,2019/3/4,,2019/3/12
Yamazaki Sherry Cask 2012,山崎 雪莉 2012,Yamazaki,官方,,,0.48,700,雪莉,,,88.5,85000,"2,200.00","25,100.00",FB拍賣左側小傷,2019/3/5,2018/12/3,2019/3/19,2019/3/19
Yamazaki Sherry Cask 2013,山崎 雪莉 2013,Yamazaki,官方,,,0.48,700,雪莉,,18000,89.83,160000,"3,100.00",,,2019/2/11,2019/2/4,,2019/3/12
Yoichi 10-year-old,余市 10年 絕版舊盒,Yoichi,官方,,10,0.45,700,,,,84.75,9900,143,,"包裝盒中央""10""為藍底",2019/3/18,2019/3/4,,2019/3/5
Yoichi 12-year-old Single Malt,余市 12年 舊盒,Yoichi,官方,,12,0.45,700,,,,85.96,11500,,,"FB明價/藍底""12""位於盒中央",2019/4/10,,,2019/4/10
Yoichi 15-year-old Single Malt,余市 15年,Yoichi,官方,,15,0.45,700,波本 & 新橡木 & 雪莉 Barrels,,,86.93,17500,430,,Fb公司貨,2019/3/15,2019/3/4,,2019/3/22
Yoichi 1987 SMWS 116.17 Pin-ball wizard in Japanese tea house ,余市 1987 SMWS 116.17,Yoichi,Scotch Malt Whisky Society,1987,25,0.592,700,前雪莉 Butt(一次充填),,485,91.11,65000,"2,600.00",,,2019/3/14,2019/3/4,,2019/3/22
Yoichi 1988 Single Malt,余市 1988 單一麥芽,Yoichi,官方,1988,20,0.55,700,波本Barrel & 雪莉Butt,,3500,90.87,118000,"1,500.00",,,2019/2/15,2017/7/3,,2019/3/12
Yoichi 1990 SMWS 116.3 Baba Wood and Fudge,余市 1990 SMWS 116.3,Yoichi,Scotch Malt Whisky Society,1990,11,0.606,700,,,,,128000,,,FB明價,2019/2/25,,,2019/3/14
Yoichi 1991 Single Cask Warehouse #129459,余市 1991 單桶 #129459,Yoichi,官方,1991,23,0.62,700,處女 Puncheon,129459,423,91.47,119000,"1,801.00",,,2019/2/11,2019/2/4,,2019/3/12
Yoichi 1991 Single Cask Warehouse #15,余市 1997 單桶 #129374,Yoichi,官方,1991,18,0.58,700,處女橡木,129374,453,90.74,103100,,,法國限定/2009裝瓶,2019/3/24,,,2019/3/27
Yoichi 20-year-old Single Malt,余市 20年,Yoichi,官方,,20,0.52,700,,,,90.43,46000,"1,100.00",,FB公司貨,2019/3/13,2019/3/4,,2019/3/7
Yoichi Nikka 1987 Single Cask Warehouse ,余市 Nikka 1987 #113200,Yoichi,官方,1987,19,0.63,700,,113200,,89.58,80000,"1,200.00",,歐拍裸瓶,2018/11/17,2019/3/4,,2019/3/8
Chichibu 2011 Whisky-Show London 2018 Ichiro's Choice,秩父 倫敦 限量 2018,Chichibu,官方,,,0.565,700,,,929,89.82,35000,,,2018裝瓶/Whisky-Show London 2018,2019/4/16,,,2019/4/17
Macallan Genesis Limited Edition,麥卡倫 創世紀,Macallan,官方,,,0.455,700,,,2500,87.21,250000,,,,2019/4/16,,,2019/4/17
Lagavulin Distillery Exclusive Bottling,拉加維林 酒廠遊客中心限定 2017,Lagavulin,官方,,,0.541,700,,,7500,89.11,5888,,,2017裝瓶,2019/4/17,,,2019/4/18
Caol Ila Distillery Exclusive Bottling Natural Cask Strength,卡爾里拉 酒廠遊客中心限定 2017,Caol Ila,官方,,,0.588,700,,,3000,86.73,5000,,,2017裝瓶,2019/4/17,,,2019/4/22
Hanyu 2000 #362,羽生 2000 單桶 #362,Hanyu,官方,2000,,0.561,700,,,,91.4,72000,,,The Whisky Exchange 選桶/2016裝瓶,2019/4/22,,,2019/4/23
Chichibu The Peated - 10th Anniversary 2018 Ichiro's Malt,秩父 The Peated 2018 10周年紀念,Chichibu,官方,2013,5,0.555,700,波本,,11550,89.43,12000,,,2019 WWA 銀牌/2018裝瓶/FB私價,2019/4/22,,,2019/4/23
Chichibu 2010 Ichiro's Malt - The Peated,秩父 The Peated 2010,Chichibu,官方,2010,3,0.535,700,前波本、波特、邦芎,,6700,84.78,10200,,,59.6ppm 紅圈標,2019/4/23,,,2019/4/24
Ardbeg 30-year-old Very Old,阿貝 30年 Very Old,Ardbeg,官方,,30,0.4,700,,,,90.52,46500,,,,2019/4/23,,,2019/4/24
