englishname,chinesename,distillery,bottler,vintage,statedage,strength,size,casktype,casknumber,numberofbottles,rating,fbprice,euprice,chinaprice,notes,fbpricedate,eupricedate,chinapricedate,dateupdated
Balvenie Tun 1858 Batch No. 1,百富 1858 第一版,Balvenie,官方,,,0.504,700,3種雪莉 & 6種傳統威士忌橡木,,2200,91.22,66999,935,,第一版 (台灣限定),2019/1/2,2017/8/7,,2019/2/26
Balvenie Tun 1858 Batch No. 3,百富 1858 第三版,Balvenie,官方,,,0.461,700,雪莉Butts & 傳統橡木,,,90.5,20100,625,,台灣限定,2019/4/17,2018/10/8,,2019/4/18
Balvenie Tun 1858 Batch No. 5,百富 1858 第五版,Balvenie,官方,,,0.514,700,4種歐洲雪莉 & 六種美國橡木,,,82,,525,,第五版 (台灣限定),,2019/3/4,,2019/2/26
Balvenie Tun 1858 Batch No. 7,百富 1858 第七版,Balvenie,官方,,,0.521,700,雪莉 Butt & 傳統橡木,,,,19200,525,,第七版,2019/3/24,2019/1/7,,2019/3/27
Ben Nevis 1991 Single Cask #3711,班尼富 1991 單桶 #3711,Ben Nevis,官方,1991,25,0.613,700,雪莉,3711,584,90.11,7000,310,,,2018/3/14,2019/3/4,,2019/3/8
BenRiach 1966 GM Private Collection,班瑞克 1966 GM #605,Benriach,Gordon & MacPhail,1966,,0.561,700,美國橡木 豬頭(一次充填),605,129,91.94,20000,,,,2018/12/30,,,2019/3/22
BenRiach 1972 Single Cask Bottling - Batch 2,班瑞克 1972 單桶 第二版 #4043,Benriach,官方,1972,33,0.49,700,豬頭,4043,261,90.91,13600,330,,2005裝瓶,2019/3/4,2016/10/3,,2019/3/13
Benriach 1977 Single Cask Bottling - Batch 7 #1033,班瑞克 1977 第七版 #1033,Benriach,官方,1977,33,0.522,700,PX雪莉,1033,331,90,,420,,第七版,,2019/3/4,,2019/2/26
BenRiach 1986 Single Cask Bottling - Batch 13 #3183,班瑞克 1986 第十三版 #3183,Benriach,官方,1986,30,0.556,700,"PX雪莉,豬頭",3183,307,91.07,,386,,,,2019/3/4,,2019/2/26
BenRiach 1996 Single Cask Bottling,班瑞克 1996 單桶 #3609,Benriach,官方,1996,,0.543,700,PX雪莉 Puncheon,3609,697,,3600,,,亞洲味雷協會選桶/台灣限定,2019/3/29,,,2019/3/29
BenRiach 22-year-old Finished in Moscatel Casks,班瑞克 22年 慕絲卡堤 甜雪莉,Benriach,官方,,22,0.46,700,Moscatel 雪莉,,5927,89.72,,127,,,,2019/3/4,,2019/2/26
Bowmore 08-year-old,波摩 8年 海鷗,Bowmore,官方,,8,0.4,700,,,,81.96,6000,85,,歐拍價義大利限定,2019/3/8,2019/3/4,,2019/3/14
Bowmore 12 seagulls,波摩 12年 海鷗,Bowmore,官方,,12,0.43,700,,,,89.5,5000,147,,,,2019/3/4,,2019/3/15
Bowmore 12-year-old,波摩 12年 海鷗 1000ML 燙金,Bowmore,官方,,12,0.43,"1,000",,,,84.72,8500,350,"4,700.00",免稅限定/白標版FB拍價8000,2019/3/8,2019/3/4,2019/3/19,2019/3/19
Bowmore 16-year-old SMWS 3.233 Poached peaches in red wine,波摩 16年 SMWS 3.233,Bowmore,Scotch Malt Whisky Society,,16,0.568,700,前雪莉(二次充填),,579,88.25,5800,130,,2014裝瓶/Whisky Luxe Taipei 台灣限定,2019/2/26,2016/7/4,,2019/3/14
Bowmore 1955,波摩 1955 40年,Bowmore,官方,1955,40,0.42,700,波本豬頭 & 雪莉熟成,,306,94.91,,"20,623.00","299,999.00",,,2018/12/3,2019/3/19,2019/3/19
Bowmore 1956 Islay Pure Malt,波摩 1956,Bowmore,官方,1956,,0.43,750,雪莉,,,95.25,,"4,700.00",,,,2019/1/7,,2019/2/26
Bowmore 1957,波摩 1957,Bowmore,官方,1957,38,0.401,700,,216 - 220,861,94.68,,"4,100.00",,,,2019/3/4,,2019/2/26
Bowmore 1964 Bicentenary,波摩 1964 兩百週年,Bowmore,官方,1964,15,0.43,750,,,,93.94,,"2,100.00",,,,2019/3/4,,2019/2/26
Bowmore 1968 Anniversary Edition,波摩 1968 32年 海鷗,Bowmore,官方,1968,32,0.455,700,,,1860,93.88,132000,,,Stanley P. Morrison Company 50周年紀念,2019/4/12,,,2019/4/11
Bowmore 1970,波摩 1970 三得利倫敦辦公室30年紀念,Bowmore,官方,1970,30,0.43,700,,,,,,"3,300.00","41,711.00",三得利倫敦辦公室30年紀念/2001裝瓶,,2014/12/1,2019/3/19,2019/3/19
Bowmore 1973 Limited Release,波摩 1973 限量 43年,Bowmore,官方,1973,43,0.432,700,"波本,豬頭",,,95.14,210000,"4,000.00",,FB私價,2019/2/26,2019/1/7,,2019/2/26
Bowmore 1985 SMS The Single Malts of Scotland,波摩 1985 SMS #34127,Bowmore,官方,1985,23,0.601,700,豬頭,34127,266,90,15000,85,,,2018/12/7,2016/2/7,,2019/3/8
Bowmore 1987 DL XOP - Xtra Old Particular,波摩 1987 XOP,Bowmore,Douglas Laing,1987,30,0.508,700,Butt(二次充填),DL12376,135,90.63,20100,430,,,2019/2/16,2019/3/4,,2019/3/12
Bowmore 1990 UD The Solution,波摩 1990 UD,Bowmore,UD,1990,21,0.5,700,,,50,91.67,11100,,,,2018/5/12,,,2019/3/7
